Year ,Quarter,Quarter and Year,Medevac Missions,Impaired Driving Arrests,Cross-Border Criminal Investigations,Total Traffic Stops
2014,Q1,Q1 2014,376,1496,180,110734
2014,Q2,Q2 2014,597,1630,104,141940
2014,Q3,Q3 2014,681,1767,148,147807
2014,Q4,Q4 2014,484,1562,108,119741
2015,Q1,Q1 2015,345,1500,210,132779
2015,Q2,Q2 2015,597,1636,124,141777
2015,Q3,Q3 2015,733,1934,117,148446
2015,Q4,Q4 2015,430,1702,93,128598
2016,Q1,Q1 2016,425,1614,262,128685
2016,Q2,Q2 2016,558,1720,554,137188
2016,Q3,Q3 2016,639,1892,521,136729
2016,Q4,Q4 2016,554,1591,458,114175
2017,Q1,Q1 2017,340,1639,511,137124
2017,Q2,Q2 2017,565,1595,356,134204
2017,Q3,Q3 2017,584,1756,346,137506
2017,Q4,Q4 2017,424,1538,258,126881
2018,Q1,Q1 2018,396,1630,415,133805
2018,Q2,Q2 2018,523,1723,384,142609
2018,Q3,Q3 2018,515,1828,408,141806
2018,Q4,Q4 2018,377,1620,344,114252
2019,Q1,Q1 2019,339,1662,576,125768
2019,Q2,Q2 2019,523,1715,481,129605
2019,Q3,Q3 2019,546,1867,463,139994
2019,Q4,Q4 2019,391,1703,422,123774
2020,Q1,Q1 2020,309,1382,526,109470
2020,Q2,Q2 2020,464,1156,304,88488
2020,Q3,Q3 2020,542,1814,491,122010
2020,Q4,Q4 2020,439,1434,365,105510
2021,Q1,Q1 2021,324,1654,382,117215
2021,Q2,Q2 2021,499,1645,317,105974
2021,Q3,Q3 2021,552,1583,307,104012
2021,Q4,Q4 2021,416,1347,271,96333
2022,Q1,Q1 2022,327,1536,368,106900
2022,Q2,Q2 2022,482,1465,317,105039
2022,Q3,Q3 2022,572,1334,328,105008
2022,Q4,Q4 2022,459,1355,250,86716
2023,Q1,Q1 2023,371,1256,320,98042
2023,Q2,Q2 2023,543,1241,333,87591
2023,Q3,Q3 2023,548,1163,294,80525
2023,Q4,Q4 2023,437,1158,243,79072
2024,Q1,Q1 2024,329,1211,299,92633
